Step,LeftCmd,LeftFt,RightCmd,RightFt,AngleCmd,Angle,LeftSegVel,left,ActLeftVel,RightSegVel,right,ActRightVel,turn
Number,FT,FT,FT,FT,Deg,Deg,pct,pct,pct,pct,pct,pct,pct
1.0,0.002518,0.0,0.002518,0.0,1.049544089120642,0.0,1.5653333333333333E-4,0.15033974644386505,0.0,1.5653333333333333E-4,0.15558746688946828,0.0,-0.0026238602228016057
2.0,0.014783,0.0,0.014588,0.0,1.0464501170269356,0.0,0.032706933333333334,0.059159768040765996,0.0,0.032186,0.06439201862590067,0.0,-0.0026161252925673392
3.0,0.032137,0.0,0.031669,-4.1356492969396195E-4,1.0412934968707581,0.0,0.046276533333333335,0.23071167959115646,0.0,0.04554893333333333,0.23387824672811566,-2.7570995312930797E-4,-0.002603233742176896
4.0,0.054448,0.0,0.05363,-4.1356492969396195E-4,1.0340742286521099,0.019999999552965164,0.05949693333333333,0.19077738776282066,0.0,0.05856426666666667,0.1946890318897848,-5.514199062586159E-4,-0.0026351855705126883
5.0,0.081717,0.0,0.080473,-0.023986765922249794,1.0248496081505034,0.03999999910593033,0.0727164,0.20738584931519224,0.0,0.07158066666666667,0.21579580386925773,-0.009374138406396473,-0.002662124018141085
6.0,0.113943,0.0,0.112198,-0.043837882547559964,1.0136196353659392,0.10000000149011612,0.08593453333333333,0.22593405090785987,0.0,0.08459826666666667,0.2382760522683188,-0.036669423766197966,-0.002784049092140139
7.0,0.151124,0.0,0.148804,-0.09181141439205956,1.0003843102984173,0.029999999329447746,0.09915120000000001,0.24587667255758727,0.0,0.09761746666666667,0.2669540903208246,-0.07692307692307693,-0.0025009607757460438
8.0,0.193262,0.0,0.190293,-0.12758478081058727,0.9852009287274505,-0.25999999046325684,0.11236613333333333,0.2672129976543395,0.0,0.11063826666666668,0.29376570517444467,-0.10559691204852496,-0.0018130023456604844
9.0,0.240354,0.0,0.236666,-0.20264681555004135,0.968069490653039,-0.5199999809265137,0.1255792,0.289543139559017,0.0,0.1236612,0.32940906355099125,-0.12682657843948167,-0.0011201737743163137
10.0,0.2924,0.0,0.287924,-0.26530190239867657,0.9491045876342087,-0.9800000190734863,0.13878986666666665,0.3133661585785982,0.0,0.13668626666666667,0.36304612190113705,-0.15384615384615385,7.723857859819412E-5
11.0,0.349399,0.0,0.344066,-0.3794458229942101,0.9282489238914468,-1.399999976158142,0.1519982666666667,0.3379065444642264,0.0,0.14971373333333335,0.40823099346794894,-0.2106424041907913,0.0010043777975597438
12.0,0.411351,0.0,0.405095,-0.4665012406947891,0.9056170909837792,-1.6399999856948853,0.16520386666666667,0.3630390638915236,0.0,0.16274386666666668,0.44937366424743436,-0.24455472842569617,0.0015359572248568366
13.0,0.478253,0.0,0.471012,-0.6108354011579818,0.8812663846907193,-2.119999885559082,0.17840666666666666,0.3901879404188376,0.0,0.17577693333333333,0.5019235131460921,-0.286462641301351,0.0030968337521709074
14.0,0.550106,0.0,0.541817,-0.7212572373862697,0.8552541007917798,-2.940000057220459,0.1916064,0.41887751155773834,0.0,0.18881306666666667,0.5481179959195156,-0.31486076647366973,0.005211864891071699
15.0,0.626907,0.0,0.617511,-0.9185277088502894,0.8275802392869611,-4.110000133514404,0.20480266666666666,0.4478576694494663,0.0,0.20185253333333333,0.6133594189872581,-0.37193272677143646,0.006631049449466314
16.0,0.708655,0.0,0.698097,-1.0680314309346568,0.7983593917352891,-4.889999866485596,0.21799546666666667,0.4800021078535424,0.0,0.21489560000000002,0.6678504183333889,-0.4488558036945134,0.01022910118687577
17.0,0.795349,0.0,0.783576,-1.3124483043837882,0.767648853916277,-6.570000171661377,0.2311844,0.5129605445795596,0.0,0.2279425333333333,0.7424780629638646,-0.4937965260545906,0.013655877912893027
18.0,0.886988,0.0,0.873948,-1.4923490488006617,0.7355632173889509,-8.039999961853027,0.2443692,0.5480820118611602,0.0,0.24099346666666666,0.8040071712323055,-0.533498759305211,0.018261091861160195
19.0,0.983569,0.0,0.969216,-1.8060380479735318,0.7021597779328239,-9.739999771118164,0.25754973333333336,0.5839159999829633,0.0,0.25404866666666664,0.8935489562784097,-0.6049076371657017,0.022594599982963356
20.0,1.085091,0.0,1.069382,-2.0380479735318446,0.6674958313274091,-12.369999885559082,0.2707258666666667,0.6212865333735451,0.0,0.26710853333333334,0.9671859213328238,-0.6680452164323133,0.027481260040211754
21.0,1.191552,0.0,1.174447,-2.4290736145574856,0.6316859691317326,-14.619999885559082,0.2838972,0.6622430314577351,0.0,0.2801729333333334,1.0441264110236548,-0.7741935483870968,0.03497078479106838
