dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,22.304916,3.081476,0.004762,0.190476,3.809524,76.190476,1.570885
0.050000,22.304919,3.097705,0.020990,0.324571,2.681899,-22.552495,1.570384
0.050000,22.304962,3.141776,0.065061,0.881419,11.136960,169.101218,1.569265
0.050000,22.305142,3.215199,0.138485,1.468463,11.740880,12.078406,1.567427
0.050000,22.305618,3.317930,0.241217,2.054653,11.723803,-0.341540,1.564908
0.050000,22.306604,3.449909,0.373199,2.639645,11.699828,-0.479504,1.561765
0.050000,22.308359,3.611054,0.534354,3.223092,11.668942,-0.617715,1.558067
0.050000,22.311180,3.801265,0.724586,3.804646,11.631089,-0.757072,1.553903
0.050000,22.315384,4.020423,0.943784,4.383959,11.586254,-0.896704,1.549375
0.050000,22.321296,4.268386,1.191818,4.960680,11.534421,-1.036649,1.544604
0.050000,22.329229,4.544996,1.468541,5.534460,11.475601,-1.176399,1.539724
0.050000,22.339465,4.850072,1.773789,6.104951,11.409825,-1.315522,1.534887
0.050000,22.352232,5.183418,2.107379,6.671808,11.337134,-1.453817,1.530261
0.050000,22.367680,5.544822,2.469114,7.234687,11.257579,-1.591097,1.526029
0.050000,22.385625,5.929261,2.853972,7.697162,9.249502,-40.161538,1.522429
0.050000,22.405456,6.326976,3.252180,7.964167,5.340102,-78.188004,1.519691
0.050000,22.426368,6.728316,3.654065,8.037691,1.470475,-77.392546,1.517954
0.050000,22.447709,7.128504,4.054821,8.015132,-0.451184,-38.433184,1.517257
0.050000,22.469061,7.527562,4.454450,7.992574,-0.451146,0.000766,1.517599
0.050000,22.490010,7.925511,4.852951,7.970015,-0.451187,-0.000818,1.518981
0.050000,22.509987,8.319171,5.247117,7.883329,-1.733727,-25.650793,1.521379
0.050000,22.528254,8.700685,5.629068,7.639015,-4.886281,-63.051084,1.524689
0.050000,22.544168,9.060763,5.989497,7.208581,-8.608675,-74.447888,1.528711
0.050000,22.557446,9.393372,6.322371,6.657480,-11.022010,-48.266692,1.533207
0.050000,22.568163,9.697192,6.626381,6.080193,-11.545741,-10.474625,1.537972
0.050000,22.576542,9.972397,6.901713,5.506652,-11.470823,1.498349,1.542835
0.050000,22.582859,10.219142,7.148539,4.936512,-11.402807,1.360336,1.547639
0.050000,22.587421,10.437566,7.367010,4.369425,-11.341739,1.221352,1.552242
0.050000,22.590547,10.627792,7.557262,3.805042,-11.287656,1.081662,1.556521
0.050000,22.592553,10.789930,7.719413,3.243014,-11.240572,0.941687,1.560367
0.050000,22.593731,10.924075,7.853562,2.682990,-11.200480,0.801837,1.563687
0.050000,22.594342,11.030304,7.959793,2.124622,-11.167359,0.662423,1.566405
0.050000,22.594606,11.108682,8.038172,1.567563,-11.141179,0.523598,1.568461
0.050000,22.594690,11.159255,8.088745,1.011468,-11.121892,0.385737,1.569811
0.050000,22.594707,11.185195,8.114685,0.518790,-9.853564,25.366558,1.570510
0.050000,22.594708,11.194280,8.123770,0.181705,-6.741689,62.237498,1.570756
0.050000,22.594708,11.195766,8.125256,0.029727,-3.039563,74.042521,1.570796
0.050000,22.594708,11.195766,8.125256,0.000000,-0.594547,48.900329,1.570796
